level,notation,prefLabel
2,203,"Public worship & other practices"
2,204,"Religious experience, life & practice"
2,205,"Religious ethics"
2,206,"Leaders & organization"
2,207,"Missions & religious education"
2,208,"Sources"
2,209,"Sects & reform movements"
1,21,"Philosophy & theory of religion"
2,210,"Philosophy & theory of religion"
2,211,"Concepts of God"
2,212,"Existence, knowability & attributes of God"
2,213,"Creation"
2,214,"Theodicy"
2,215,"Science & religion"
2,218,"Humankind"
1,22,"The Bible"
2,220,"Bible"
2,221,"Old Testament (Tanakh)"
2,222,"Historical books of Old Testament"
2,223,"Poetic books of Old Testament"
2,224,"Prophetic books of Old Testament"
2,225,"New Testament"
2,226,"Gospels & Acts"
2,227,"Epistles"
2,228,"Revelation (Apocalypse)"
2,229,"Apocrypha & pseudepigrapha"
1,23,"Christianity & Christian theology"
2,230,"Christianity & Christian theology"
2,231,"God"
2,232,"Jesus Christ & his family"
2,233,"Humankind"
2,234,"Salvation & grace"
2,235,"Spiritual beings"
2,236,"Eschatology"
2,238,"Creeds & catechisms"
2,239,"Apologetics & polemics"
1,24,"Christian practice & observance"
2,240,"Christian moral & devotional theology"
2,241,"Christian ethics"
2,242,"Devotional literature"
2,243,"Evangelistic writings for individuals"
2,246,"Use of art in Christianity"
2,247,"Church furnishings & articles"
2,248,"Christian experience, practice & life"
2,249,"Christian observances in family life"
1,25,"Christian pastoral practice & religious orders"
2,250,"Christian orders & local church"
2,251,"Preaching"
2,252,"Texts of sermons"
2,253,"Pastoral office & work"
2,254,"Parish administration"
2,255,"Religious congregations & orders"
2,259,"Pastoral care of families & kinds of persons"
1,26,"Christian organization, social work & worship"
2,260,"Social & ecclesiastical theology"
2,261,"Social theology"
2,262,"Ecclesiology"
2,263,"Days, times & places of observance"
2,264,"Public worship"
2,265,"Sacraments, other rites & acts"
2,266,"Missions"
2,267,"Associations for religious work"
2,268,"Religious education"
2,269,"Spiritual renewal"
1,27,"History of Christianity"
2,270,"History of Christianity & Christian church"
2,271,"Religious orders in church history"
2,272,"Persecutions in church history"
2,273,"Doctrinal controversies & heresies"
2,274,"History of Christianity in Europe"
2,275,"History of Christianity in Asia"
2,276,"History of Christianity in Africa"
2,277,"History of Christianity in North America"
2,278,"History of Christianity in South America"
2,279,"History of Christianity in other areas"
1,28,"Christian denominations"
2,280,"Christian denominations & sects"
2,281,"Early church & Eastern churches"
2,282,"Roman Catholic Church"
2,283,"Anglican churches"
2,284,"Protestants of Continental origin"
2,285,"Presbyterian, Reformed & Congregational"
2,286,"Baptist, Disciples of Christ & Adventist"
2,287,"Methodist & related churches"
2,289,"Other denominations & sects"
1,29,"Other religions"
2,290,"Other religions"
2,292,"Greek & Roman religion"
2,293,"Germanic religion"
2,294,"Religions of Indic origin"
2,295,"Zoroastrianism"
2,296,"Judaism"
2,297,"Islam, Babism & Bahai Faith"
2,299,"Religions not provided for elsewhere"
0,3,"Social sciences"
1,30,"Social sciences, sociology & anthropology"
2,300,"Social sciences"
2,301,"Sociology & anthropology"
2,302,"Social interaction"
2,303,"Social processes"
2,304,"Factors affecting social behavior"
2,305,"Social groups"
2,306,"Culture & institutions"
2,307,"Communities"
1,31,"Statistics"
2,310,"Collections of general statistics"
2,314,"General statistics of Europe"
2,315,"General statistics of Asia"
2,316,"General statistics of Africa"
2,317,"General statistics of North America"
2,318,"General statistics of South America"
2,319,"General statistics of other areas"
1,32,"Political science"
2,320,"Political science"
2,321,"Systems of governments & states"
2,322,"Relation of state to organized groups"
2,323,"Civil & political rights"
2,324,"The political process"
2,325,"International migration & colonization"
2,326,"Slavery & emancipation"
2,327,"International relations"
2,328,"The legislative process"
1,33,"Economics"
2,330,"Economics"
2,331,"Labor economics"
2,332,"Financial economics"
2,333,"Economics of land & energy"
2,334,"Cooperatives"
2,335,"Socialism & related systems"
2,336,"Public finance"
2,337,"International economics"
2,338,"Production"
2,339,"Macroeconomics & related topics"
1,34,"Law"
2,340,"Law"
2,341,"Law of nations"
2,342,"Constitutional & administrative law"
2,343,"Military, tax, trade & industrial law"
2,344,"Labor, social, education & cultural law"
2,345,"Criminal law"
2,346,"Private law"
2,347,"Civil procedure & courts"
2,348,"Laws, regulations & cases"
2,349,"Law of specific jurisdictions & areas"
1,35,"Public administration & military science"
2,350,"Public administration & military science"
2,351,"Public administration"
2,352,"General considerations of public administration"
2,353,"Specific fields of public administration"
2,354,"Administration of economy & environment"
2,355,"Military science"
2,356,"Infantry forces & warfare"
2,357,"Mounted forces & warfare"
2,358,"Air & other specialized forces"
2,359,"Sea forces & warfare"
1,36,"Social problems & social services"
2,360,"Social problems & services; associations"
2,361,"Social problems & social welfare in general"
2,362,"Social welfare problems & services"
2,363,"Other social problems & services"
2,364,"Criminology"
2,365,"Penal & related institutions"
2,366,"Associations"
2,367,"General clubs"
2,368,"Insurance"
2,369,"Miscellaneous kinds of associations"
1,37,"Education"
2,370,"Education"
2,371,"Schools & their activities; special education"
2,372,"Elementary education"
2,373,"Secondary education"
2,374,"Adult education"
2,375,"Curricula"
2,378,"Higher education"
2,379,"Public policy issues in education"
1,38,"Commerce, communications & transportation"
2,380,"Commerce, communications & transportation"
2,381,"Commerce"
2,382,"International commerce"
2,383,"Postal communication"
2,384,"Communications; telecommunication"
2,385,"Railroad transportation"
2,386,"Inland waterway & ferry transportation"
2,387,"Water, air & space transportation"
2,388,"Transportation; ground transportation"
2,389,"Metrology & standardization"
1,39,"Customs, etiquette & folklore"
2,390,"Customs, etiquette & folklore"
2,391,"Costume & personal appearance"
2,392,"Customs of life cycle & domestic life"
2,393,"Death customs"
2,394,"General customs"
2,395,"Etiquette (Manners)"
2,398,"Folklore"
2,399,"Customs of war & diplomacy"
0,4,"Language"
1,40,"Language"
2,400,"Language"
2,401,"Philosophy & theory"
2,402,"Miscellany"
2,403,"Dictionaries & encyclopedias"
