uri,points
http://bartoc.org/en/node/909,2298
http://bartoc.org/en/node/18615,2294
http://bartoc.org/en/node/18525,2289
http://bartoc.org/en/node/1962,2289
http://bartoc.org/en/node/421,2284
http://bartoc.org/en/node/18523,2281
http://bartoc.org/en/node/18644,2281
http://bartoc.org/en/node/1803,2275
http://bartoc.org/en/node/1512,2271
http://bartoc.org/en/node/1944,2270
http://bartoc.org/en/node/18818,2268
http://bartoc.org/en/node/396,2262
http://bartoc.org/en/node/511,2255
http://bartoc.org/en/node/18604,2254
http://bartoc.org/en/node/18537,2250
http://bartoc.org/en/node/252,2245
http://bartoc.org/en/node/18469,2241
http://bartoc.org/en/node/31,2235
http://bartoc.org/en/node/1573,2232
http://bartoc.org/en/node/498,2227
http://bartoc.org/en/node/966,2215
http://bartoc.org/en/node/168,2212
http://bartoc.org/en/node/18651,2210
http://bartoc.org/en/node/1894,2208
http://bartoc.org/en/node/18438,2207
http://bartoc.org/en/node/978,2203
http://bartoc.org/en/node/236,2203
http://bartoc.org/en/node/371,2199
http://bartoc.org/en/node/18427,2190
http://bartoc.org/en/node/499,2189
http://bartoc.org/en/node/107,2189
http://bartoc.org/en/node/334,2188
http://bartoc.org/en/node/1937,2188
http://bartoc.org/en/node/1041,2182
http://bartoc.org/en/node/1848,2182
http://bartoc.org/en/node/18618,2177
http://bartoc.org/en/node/18607,2175
http://bartoc.org/en/node/727,2173
http://bartoc.org/en/node/692,2170
http://bartoc.org/en/node/891,2167
http://bartoc.org/en/node/18587,2164
http://bartoc.org/en/node/1620,2159
http://bartoc.org/en/node/1674,2159
http://bartoc.org/en/node/8,2154
http://bartoc.org/en/node/1804,2153
http://bartoc.org/en/node/419,2148
http://bartoc.org/en/node/1622,2142
http://bartoc.org/en/node/1817,2138
http://bartoc.org/en/node/18611,2134
http://bartoc.org/en/node/18448,2134
http://bartoc.org/en/node/128,2132
http://bartoc.org/en/node/18432,2132
http://bartoc.org/en/node/18612,2129
http://bartoc.org/en/node/1787,2120
